timestamp,rel_change,trend_ema
2025-09-10 18:30:00,-0.151690710139651,0.00599478648156308
2025-09-10 18:45:00,-0.045062908014685904,0.003992523952298415
2025-09-10 19:00:00,-0.2819695130476439,-0.007221673577111086
2025-09-10 19:15:00,-0.3850664890607283,-0.022039117321566666
2025-09-10 19:30:00,-0.08092723968439063,-0.024348455453442115
2025-09-10 19:45:00,-0.004599514248404546,-0.02357398717089162
2025-09-10 20:00:00,0.2841850032849001,-0.011505007153017437
2025-09-10 20:15:00,0.07672074945406679,-0.008045173560582762
2025-09-10 20:30:00,0.08560621484039795,-0.004372570093877636
2025-09-10 20:45:00,0.08289205136968818,-0.0009504280756985842
2025-09-10 21:00:00,0.31898724065348094,0.011596147168582965
2025-09-10 21:15:00,-0.016491794164730234,0.010494659273158917
2025-09-10 21:30:00,0.04522097077568426,0.011856475410512853
2025-09-10 21:45:00,0.07074587396268005,0.014165863589029213
2025-09-10 22:00:00,0.10434357593029374,0.017702244465157235
2025-09-10 22:15:00,-0.056151318334639065,0.014806026316145615
2025-09-10 22:30:00,-0.04028042596405862,0.012645773285549371
2025-09-10 22:45:00,0.14589389743450143,0.01787118991884161
2025-09-10 23:00:00,0.168838313094695,0.023791469259071153
2025-09-10 23:15:00,-0.13137560219948394,0.017706486064618013
2025-09-10 23:30:00,-0.006373719467238719,0.016762164279055004
2025-09-10 23:45:00,0.036575643053791705,0.01753916344669174
2025-09-11 00:00:00,-0.09723768012069825,0.013038110757774488
2025-09-11 00:15:00,-0.0555953237782631,0.010346603521067132
2025-09-11 00:30:00,0.02021932627963862,0.010733769119442484
2025-09-11 00:45:00,0.10444491465350421,0.014408716003131178
2025-09-11 01:00:00,0.18857533682966815,0.021238779564956158
2025-09-11 01:15:00,0.05449448889982144,0.02254292502906852
2025-09-11 01:30:00,0.05036154052119365,0.02363385112679892
2025-09-11 01:45:00,0.06619741781420128,0.02530301060473627
2025-09-11 02:00:00,0.10009872469762691,0.028236175863280998
2025-09-11 02:15:00,-0.07329574743212851,0.024254531812480624
2025-09-11 02:30:00,-0.045780035676115355,0.02150807818547686
2025-09-11 02:45:00,-0.04102412158757149,0.019055835057122023
2025-09-11 03:00:00,-0.16763171342901195,0.011734754724332455
2025-09-11 03:15:00,0.35498674948975617,0.025195617264152995
2025-09-11 03:30:00,0.04481182899175565,0.02596488046915702
2025-09-11 03:45:00,0.3235150447677181,0.03763351436321824
2025-09-11 04:00:00,-0.07318095382939022,0.033287848943900265
2025-09-11 04:15:00,-0.041138513409908234,0.030369168067280322
2025-09-11 04:30:00,-0.018076765154338446,0.02846932754878547
2025-09-11 04:45:00,0.13570250919971377,0.0326745503586258
2025-09-11 05:00:00,-0.15568379796605852,0.02528794846354014
2025-09-11 05:15:00,-0.1910975397622408,0.01680224304292128
2025-09-11 05:30:00,0.029660352798313687,0.017306482641171964
2025-09-11 05:45:00,0.050656406189882916,0.0186143227803371
2025-09-11 06:00:00,-0.07539609277449796,0.014927639817402392
2025-09-11 06:15:00,0.12718160301235165,0.019329756021125893
2025-09-11 06:30:00,0.03277467858296227,0.019857007886295946
2025-09-11 06:45:00,0.1023523230028835,0.02309211828302487
2025-09-11 07:00:00,-0.09981101742546011,0.01827238747092742
2025-09-11 07:15:00,-0.012861960675315243,0.017051432641663002
2025-09-11 07:30:00,-0.01001191274555064,0.015990124979419332
2025-09-11 07:45:00,-0.005482398215706775,0.015148065246277131
2025-09-11 08:00:00,-0.062182895985239836,0.012115478531315681
2025-09-11 08:15:00,0.17962103365956994,0.01868432383046291
2025-09-11 08:30:00,0.1771436174555848,0.02489841377654612
2025-09-11 08:45:00,0.06490549748236506,0.02646731901991157
2025-09-11 09:00:00,-0.07261378672051669,0.022581785461463402
2025-09-11 09:15:00,0.05695867614060848,0.023929898821429874
2025-09-11 09:30:00,-0.02635652776724124,0.02195788209246238
2025-09-11 09:45:00,-0.040129011831425,0.019523101938584444
2025-09-11 10:00:00,-0.013575195757512084,0.01822512947991399
2025-09-11 10:15:00,-0.07389463842375282,0.014612589562123135
2025-09-11 10:30:00,0.061456705986406436,0.01644961373562444
2025-09-11 10:45:00,0.06085671115364634,0.018191068536331186
2025-09-11 11:00:00,-0.05086531689971176,0.015482974989819698
2025-09-11 11:15:00,-0.1265970312982721,0.00991121003734551
2025-09-11 11:30:00,-0.04873654161045098,0.007611298208020158
2025-09-11 11:45:00,-0.17042183566101776,0.0006296066837441616
2025-09-11 12:00:00,0.3696776300111136,0.015102078186778257
2025-09-11 12:15:00,0.24634245728231757,0.024170328347387644
2025-09-11 12:30:00,-0.7834659105551499,-0.007501681021339319
2025-09-11 12:45:00,0.1410165411676761,-0.0016774370139269502
2025-09-11 13:00:00,-0.580227374379482,-0.024365669851791855
2025-09-11 13:15:00,0.21225079621186335,-0.015086592751256357
2025-09-11 13:30:00,0.23262776175280206,-0.0053723043393324975
2025-09-11 13:45:00,0.24765182950236736,0.004550210713283182
2025-09-11 14:00:00,-0.31660023327149284,-0.008043924344943328
2025-09-11 14:15:00,-0.40537295426590964,-0.02362545493007926
2025-09-11 14:30:00,0.5123459888184617,-0.002606966939940402
2025-09-11 14:45:00,-0.24929273598071972,-0.012280918667029787
2025-09-11 15:00:00,-0.15440964156207979,-0.017854594074678806
2025-09-11 15:15:00,-0.27929344450153704,-0.028107098012986973
2025-09-11 15:30:00,-0.06227317973163609,-0.029446944354894783
2025-09-11 15:45:00,0.08302110683706018,-0.02503643254344557
2025-09-11 16:00:00,0.1878053127825798,-0.016689697432621046
